product_id,category,base_price,competitor_price,promotion_flag,season,customer_segment,day_of_week,channel,current_price,units_sold,baseline_revenue,price_minus_10,price_plus_5,price_plus_10,demand_baseline,demand_minus_10,demand_plus_5,demand_plus_10,revenue_baseline,revenue_minus_10,revenue_plus_5,revenue_plus_10
1102,Electronics,153.93,23.94,True,Fall,Regular,Tue,Web,111.99,5.0,559.9499999999999,100.791,117.5895,123.18900000000001,719.2652565235412,793.5066627300238,682.1445534203,645.0238503170586,80550.51607807138,79978.33004322182,80213.03696441637,79459.84309670814
1435,Home,190.17,250.84,False,Spring,Premium,Sat,Mobile App,190.17,179.0,34040.43,171.153,199.67849999999999,209.187,200.98745161035208,327.05663830815365,137.9528582614514,74.91826491255051,38221.783672740654,55976.72481635542,27546.219808359223,15671.927082261705
1860,Electronics,166.57,257.71,False,Summer,Regular,Mon,Web,166.57,141.0,23486.37,149.913,174.8985,183.227,357.43866926130204,467.86273419400834,302.2266367949487,247.0146043285954,59538.559138855075,70138.70607122638,52858.98543548134,45259.74490731555
1270,Electronics,215.97,238.38,False,Winter,Regular,Mon,Web,215.97,164.0,35419.08,194.373,226.76850000000002,237.567,29.9517984156696,173.12455043293926,-41.63457759296534,-113.22095360160029,6468.6899038321635,33650.738241301704,-9441.410708890362,-26897.562284271375
1106,Fashion,102.55,255.81,True,Spring,Regular,Mon,Web,81.71,1238.0,101156.98,73.539,85.7955,89.881,920.0001239163702,974.1680433835697,892.9161641827703,865.8322044491705,75173.2101252066,71639.34374238434,76608.18876414288,77821.86436809589
1071,Grocery,49.87,152.37,False,Winter,Premium,Sat,Web,49.87,349.0,17404.629999999997,44.882999999999996,52.3635,54.857,1131.0766819674823,1164.1369456295706,1114.5465501364379,1098.016418305394,56406.794129718335,52249.95853069201,58361.558278069366,60233.88665897899
1700,Electronics,15.11,281.87,False,Summer,Regular,Tue,Mobile App,15.11,2287.0,34556.57,13.599,15.8655,16.621000000000002,1361.5107635584577,1371.5276190614486,1356.502335806962,1351.4939080554666,20572.427637368295,18651.40409161664,21521.587808745357,22463.180245789914
1020,Home,139.25,177.15,False,Summer,Regular,Sun,Mobile App,139.25,187.0,26039.75,125.325,146.2125,153.175,538.550841558927,630.863689261871,492.3944177074551,446.23799385598306,74993.20468708058,79062.99185674397,71994.21879905128,68352.5047088902
1614,Electronics,273.27,178.97,True,Summer,Regular,Mon,Web,202.1,114.0,23039.399999999998,181.89,212.205,222.31,121.9000352300202,255.877963565855,54.91107106210279,-12.077893105814383,24635.99711998708,46541.64279299336,11652.403834733524,-2685.0364163535955
1121,Home,98.53,259.37,True,Spring,Regular,Tue,Web,73.69,278.0,20485.82,66.321,77.3745,81.059,973.1670207621592,1022.0182505447799,948.7414058708487,924.3157909795383,71712.67775996351,67781.27239438034,73408.39190855398,74924.11370101038
1466,Fashion,66.83,111.33,True,Spring,Regular,Mon,Web,52.83,658.0,34762.14,47.547,55.4715,58.113,1111.4539868722784,1146.4765200438871,1093.942720286474,1076.4314537006694,58718.11412646247,54511.519098526696,60682.643608371145,62554.661068907
1214,Home,278.55,24.52,False,Fall,Regular,Fri,Web,278.55,1.0,278.55,250.69500000000002,292.4775,306.40500000000003,-384.90909991468834,-200.25025806438293,-477.23852083984116,-569.567941764994,-107216.42978123644,-50201.738445450486,-139581.52947893465,-174518.465196503
1330,Electronics,40.58,227.46,False,Spring,Regular,Tue,Web,40.58,5830.0,236581.4,36.522,42.609,44.638000000000005,1192.6627756953349,1219.564429984638,1179.2119485506832,1165.7611214060319,48398.25543771669,44540.932111898954,50245.041915796064,52037.24493732246
1458,Home,25.02,83.83,False,Spring,Regular,Fri,Web,25.02,406.0,10158.119999999999,22.518,26.271,27.522000000000002,1295.8145107228256,1312.4009915093798,1287.5212703295485,1279.2280299362715,32421.279058285098,29552.645526808214,33824.47129282757,35206.91383990607
1087,Grocery,265.03,147.53,False,Fall,Regular,Mon,Mobile App,265.03,100.0,26502.999999999996,238.527,278.2815,291.533,-295.2811142095677,-119.58507092977425,-383.12913584946455,-470.9771574893614,-78258.35369896173,-28524.26821366626,-106617.75061789277,-137305.383654346
1372,Home,213.26,150.595,False,Fall,Regular,Tue,Web,213.26,12.0,2559.12,191.934,223.923,234.586,47.91717128999471,189.29338601983204,-22.77093607492384,-93.45904343984262,10218.815949304271,36331.83675233044,-5098.93631870517,-21924.183164378923
1099,Fashion,132.4,249.86,False,Summer,Regular,Sat,Web,132.4,519.0,68715.6,119.16000000000001,139.02,145.64000000000001,583.9614704110036,671.7332552287398,540.0755780021354,496.1896855932672,77316.49868241687,80043.73469305664,75081.30685385688,72265.06580980345
